id,match_type,month,city,position,bat_team,batsman,bowling_team,venue,score
7263,ODI,March,,5,Australia,SR Watson,Pakistan,Adelaide Oval,69
7264,ODI,March,,6,Australia,GJ Maxwell,Pakistan,Adelaide Oval,46
7265,ODI,October,,1,Pakistan,Ahmed Shehzad,Australia,Dubai International Cricket Stadium,61
7266,ODI,October,,2,Pakistan,Sarfraz Ahmed,Australia,Dubai International Cricket Stadium,68
7267,ODI,October,,3,Pakistan,Asad Shafiq,Australia,Dubai International Cricket Stadium,32
7268,ODI,October,,4,Pakistan,Misbah-ul-Haq,Australia,Dubai International Cricket Stadium,16
7269,ODI,October,,5,Pakistan,Umar Akmal,Australia,Dubai International Cricket Stadium,5
7270,ODI,October,,6,Pakistan,Fawad Alam,Australia,Dubai International Cricket Stadium,21
7271,ODI,October,,7,Pakistan,Shahid Afridi,Australia,Dubai International Cricket Stadium,3
7272,ODI,October,,8,Pakistan,Wahab Riaz,Australia,Dubai International Cricket Stadium,2
7273,ODI,October,,9,Pakistan,Raza Hasan,Australia,Dubai International Cricket Stadium,1
7274,ODI,October,,10,Pakistan,Zulfiqar Babar,Australia,Dubai International Cricket Stadium,6
7275,ODI,October,,11,Pakistan,Mohammad Irfan,Australia,Dubai International Cricket Stadium,0
7276,ODI,October,,1,Australia,DA Warner,Pakistan,Dubai International Cricket Stadium,38
7277,ODI,October,,2,Australia,AJ Finch,Pakistan,Dubai International Cricket Stadium,14
7278,ODI,October,,3,Australia,SPD Smith,Pakistan,Dubai International Cricket Stadium,12
7279,ODI,October,,4,Australia,GJ Bailey,Pakistan,Dubai International Cricket Stadium,29
7280,ODI,October,,5,Australia,GJ Maxwell,Pakistan,Dubai International Cricket Stadium,81
7281,ODI,October,,6,Australia,JP Faulkner,Pakistan,Dubai International Cricket Stadium,26
7282,ODI,October,,7,Australia,BJ Haddin,Pakistan,Dubai International Cricket Stadium,17
7283,ODI,January,Perth,1,Pakistan,Salman Butt,Australia,Western Australia Cricket Association Ground,0
7284,ODI,January,Perth,2,Pakistan,Khalid Latif,Australia,Western Australia Cricket Association Ground,0
